Chromophore_name,Chromophore_smiles,Solvent_name,Solvent_smiles,Abs,FWHM_Abs,log_extinc,Emi,FWHM_Emi,PLQY,lifetime,HOMO,HOMO_Method,LUMO,LUMO_Method,Optical_bandgap,glob_0,glob_1,glob_2,glob_3,1,2,glob_6,3,4,5,6,location combo,subgroup number
Coumarin 183,N#Cc1cc2ccc(O)cc2oc1=O,water,O,355.0,,,410.0,,,2.8042624789680315,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
Coumarin 183,N#Cc1cc2ccc(O)cc2oc1=O,"1,4-dioxane",C1COCCO1,370.00037000037,,,440.0052800633608,,,,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
Coumarin 183,N#Cc1cc2ccc(O)cc2oc1=O,Toluene,Cc1ccccc1,372.9951510630362,,,442.008486562942,,,,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
Coumarin 183,N#Cc1cc2ccc(O)cc2oc1=O,THF,C1CCOC1,371.9961312402351,,,443.0071324148319,,,,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
Coumarin 183,N#Cc1cc2ccc(O)cc2oc1=O,dichloromethane,ClCCl,374.995312558593,,,448.9942528735632,,,,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
Coumarin 183,N#Cc1cc2ccc(O)cc2oc1=O,Ethanol,CCO,383.99508486291376,,,469.9910701696668,,,,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
Coumarin 183,N#Cc1cc2ccc(O)cc2oc1=O,methanol,CO,382.00015280006113,,,471.0093730865244,,,,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
Coumarin 183,N#Cc1cc2ccc(O)cc2oc1=O,DMF,CN(C)C=O,379.99696002431983,,,460.0027600165601,,,,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
Coumarin 183,N#Cc1cc2ccc(O)cc2oc1=O,acetonitrile,CC#N,377.0028275212064,,,471.0093730865244,,,,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
Coumarin 183,N#Cc1cc2ccc(O)cc2oc1=O,dimethyl sulfoxide,CS(C)=O,372.9951510630362,,,448.0086017651539,,,,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
coumarins and iminocoumarins 4b,N#Cc1cc2ccc(O)cc2oc1=O,dimethyl sulfoxide,CS(C)=O,351.0,,4.767638147621919,401.0,3809.444433828005,0.00123,,,,,,,,,,,*C#N,,,,,*O,,"[1, 5]",2
