Chromophore_smiles,Solvent_smiles,Chromophore_name,Solvent_name,Abs,FWHM_Abs,log_extinc,Emi,FWHM_Emi,PLQY,lifetime,HOMO,HOMO_Method,LUMO,LUMO_Method,Optical_bandgap,glob_0,glob_1,glob_2,glob_3,1,2,glob_6,3,4,5,6,location combo,subgroup number
N#Cc1cc2ccc(O)cc2oc1=O,O,Coumarin 183,water,355.0,,,410.0,,,2.8042624789680315,,,,,,,,,,*C#N,,,,,*O,,[1 5],2
N#Cc1cc2ccc(O)cc2oc1=O,C1CCOC1,Coumarin 183,THF,363.4980656201176,,,443.0071324148319,,,,,,,,,,,,,*C#N,,,,,*O,,[1 5],2
N#Cc1cc2ccc(O)cc2oc1=O,CC#N,Coumarin 183,acetonitrile,364.5014137606032,,,471.0093730865244,,,,,,,,,,,,,*C#N,,,,,*O,,[1 5],2
N#Cc1cc2ccc(O)cc2oc1=O,CS(C)=O,Coumarin 183,dimethyl sulfoxide,361.9975755315181,,,448.0086017651539,,,,,,,,,,,,,*C#N,,,,,*O,,[1 5],2
N#Cc1cc2ccc(O)cc2oc1=O,CCOC(C)=O,coumarins and iminocoumarins 4b,Ethyl acetate,356.0,,4.515410172292158,406.0,3352.643589844589,0.0596999999999999,,,,,,,,,,,*C#N,,,,,*O,,[1 5],2
N#Cc1cc2ccc(O)cc2oc1=O,ClC(Cl)Cl,coumarins and iminocoumarins 4b,chloroform,359.0,,4.158573556172255,408.0,4100.0398124270105,0.0509,,,,,,,,,,,*C#N,,,,,*O,,[1 5],2
N#Cc1cc2ccc(O)cc2oc1=O,C1CCCCC1,coumarins and iminocoumarins 4b,Cyclohexane,361.0,,4.483373306089027,411.0,3389.100741330294,0.0105,,,,,,,,,,,*C#N,,,,,*O,,[1 5],2
N#Cc1cc2ccc([O-])cc2oc1=O,O,C183 anion,water,408.0,,,450.0,2128.3151292270886,,3.9619651347068143,,,,,,,,,,*C#N,,,,,*[O-],,[1 5],2
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,aminocoumarin 1,Cyclohexane,361.8333333333333,,,395.0,,,2.8,,,,,,,,,,,*C,,,,*N(CC)CC,,[2 5],2
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCOC(C)=O,aminocoumarin 1,Ethyl acetate,363.0,,,416.0,,,3.1,,,,,,,,,,,*C,,,,*N(CC)CC,,[2 5],2
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CC#N,aminocoumarin 1,acetonitrile,369.0,,,430.0,,,3.4,,,,,,,,,,,*C,,,,*N(CC)CC,,[2 5],2
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,aminocoumarin 1,Ethanol,382.3571428571428,,,451.0,,,3.1,,,,,,,,,,,*C,,,,*N(CC)CC,,[2 5],2
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,aminocoumarin 1,Ethanol,382.3571428571428,,,451.0,,,3.1,,,,,,,,,,,*C,,,,*N(CC)CC,,[2 5],2
CCN(CC)c1ccc2c(C)cc(=O)oc2c1,CCO,aminocoumarin 1,Ethanol,382.3571428571428,,,451.0,,,3.1,,,,,,,,,,,*C,,,,*N(CC)CC,,[2 5],2
